;Peak power [kW];Specific energy use [kWh/m2];Total energy use [kWh];Overheating dayzone [Kh];Overheating nightzone [Kh]
SimpleDistrict_1;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_10;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_11;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_12;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_13;19.3472792969;157.588972757;20171.3885129;3369.45337321;3225.1126119
SimpleDistrict_14;19.3472792969;157.588972757;20171.3885129;3369.45337321;3225.1126119
SimpleDistrict_15;19.3472792969;157.588972757;20171.3885129;3369.45337321;3225.1126119
SimpleDistrict_16;19.3472792969;157.588972987;20171.3885423;3369.45337321;3225.1126119
SimpleDistrict_2;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_3;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_4;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_5;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_6;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_7;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_8;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
SimpleDistrict_9;19.3472792969;157.588971962;20171.3884112;3369.45337321;3225.1126119
District;309.55646875;;322742.215015;;
