Beginning Node,Ending Node,Length [m],Inner Diameter [m],Insulation Thickness [m],Peak Load [kW],Total pressure loss [Pa/m],U-value [W/mK]
SimpleDistrict_7,f,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_1,e,12,0.032,0.0425,19.3472793,3093.160337,0.035
SimpleDistrict_13,h,12,0.032,0.045,19.3472793,9515.79378,0.035
h,i,36,0.08,0.045,154.7782344,14391.9629,0.035
SimpleDistrict_12,g,12,0.032,0.045,19.3472793,9515.79378,0.035
d,i,36,0.08,0.045,154.7782344,14391.9629,0.035
SimpleDistrict_6,b,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_2,a,12,0.032,0.0425,19.3472793,3093.160337,0.035
f,g,24,0.08,0.0425,77.38911719,7921.773552,0.035
g,h,24,0.08,0.045,116.0836758,5538.450726,0.035
SimpleDistrict_8,f,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_16,d,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_9,g,12,0.032,0.045,19.3472793,9515.79378,0.035
c,d,24,0.08,0.045,116.0836758,5538.450726,0.035
a,b,24,0.065,0.0465,38.69455859,6577.598503,0.035
SimpleDistrict_5,b,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_15,d,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_14,h,12,0.032,0.045,19.3472793,9515.79378,0.035
b,c,24,0.08,0.0425,77.38911719,7921.773552,0.035
SimpleDistrict_4,e,12,0.032,0.0425,19.3472793,3093.160337,0.035
SimpleDistrict_10,c,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_11,c,12,0.032,0.045,19.3472793,9515.79378,0.035
e,f,24,0.065,0.0465,38.69455859,6577.598503,0.035
SimpleDistrict_3,a,12,0.032,0.0425,19.3472793,3093.160337,0.035
SimpleDistrict_23,o,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_17,n,12,0.032,0.0425,19.3472793,3093.160337,0.035
SimpleDistrict_29,q,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_28,p,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_22,k,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_18,j,12,0.032,0.0425,19.3472793,3093.160337,0.035
o,p,24,0.05,0.0425,77.38911719,7921.773552,0.035
p,q,24,0.065,0.045,116.0836758,5538.450726,0.035
SimpleDistrict_24,o,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_32,m,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_25,p,12,0.032,0.045,19.3472793,9515.79378,0.035
l,m,24,0.065,0.045,116.0836758,5538.450726,0.035
j,k,24,0.04,0.0465,38.69455859,6577.598503,0.035
SimpleDistrict_21,k,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_31,m,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_30,q,12,0.032,0.045,19.3472793,9515.79378,0.035
k,l,24,0.05,0.0425,77.38911719,7921.773552,0.035
SimpleDistrict_20,n,12,0.032,0.0425,19.3472793,3093.160337,0.035
SimpleDistrict_26,l,12,0.032,0.045,19.3472793,9515.79378,0.035
SimpleDistrict_27,l,12,0.032,0.045,19.3472793,9515.79378,0.035
n,o,24,0.04,0.0465,38.69455859,6577.598503,0.035
SimpleDistrict_19,j,12,0.032,0.0425,19.3472793,3093.160337,0.035
m,a,24,0.065,0.045,,,0.035
q,e,24,0.065,0.045,,,0.035
